ROI.Name,x.mni,y.mni,z.mni,network,index
1,13.0,59.1,-16.4,2,1
2,9.4,16.4,-19.1,4,2
3,5.0,35.1,-18.6,3,3
4,14.6,34.9,-21.9,2,4
5,7.8,47.4,0.4,3,5
6,12.7,67.0,6.9,3,6
7,28.4,59.5,-1.3,2,7
8,43.0,49.4,-4.5,2,8
9,27.4,52.8,23.1,2,9
10,6.6,52.8,30.0,1,10
11,39.7,36.9,32.0,4,11
12,14.3,35.9,52.7,1,12
13,25.9,31.2,39.8,3,13
14,42.7,17.6,47.1,2,14
15,7.3,21.7,34.0,4,15
16,50.6,28.0,-0.5,1,16
17,31.6,39.7,-14.5,2,17
18,25.8,19.2,-19.7,4,18
19,47.0,39.8,12.8,2,19
20,36.2,23.2,5.7,4,20
21,55.0,12.2,18.6,2,21
22,43.3,20.8,26.6,2,22
23,58.8,-6.3,25.6,5,23
24,6.0,-20.6,62.0,5,24
25,7.2,-5.9,49.7,5,25
26,24.3,-8.6,65.9,5,26
27,49.1,1.4,47.1,5,27
28,7.0,14.7,49.2,4,28
29,12.8,9.4,65.8,4,29
30,25.7,13.6,52.9,2,30
31,41.9,7.2,32.5,2,31
32,30.9,-1.7,52.5,4,32
33,42.8,-17.2,53.3,5,33
34,40.4,4.9,-8.3,5,34
35,40.5,4.1,8.0,5,35
36,35.5,22.3,-8.8,4,36
37,37.4,-12.4,0.2,5,37
38,36.2,-33.3,49.1,5,38
39,20.5,-28.1,68.1,5,39
40,43.4,-11.6,15.3,5,40
41,27.6,-46.1,67.3,8,41
42,15.3,-66.4,33.9,6,42
43,32.8,-57.8,48.4,8,43
44,10.0,-54.7,60.5,4,44
45,55.2,-24.0,43.8,5,45
46,58.7,-25.6,21.5,5,46
47,56.5,-42.9,38.2,2,47
48,49.5,-60.7,34.0,2,48
49,43.7,-73.1,27.8,3,49
50,51.7,-56.0,14.4,3,50
51,25.6,10.2,-39.2,5,51
52,36.7,18.7,-34.2,1,52
53,50.5,10.3,-22.6,1,53
54,50.4,-32.9,1.0,1,54
55,61.6,-21.8,-21.0,2,55
56,54.7,-9.0,-31.6,1,56
57,45.8,2.2,-40.5,1,57
58,40.4,-11.7,-34.0,5,58
59,44.0,-26.7,-23.3,8,59
60,31.5,-1.2,-43.6,5,60
61,57.4,-1.9,2.7,5,61
62,41.1,-25.6,16.3,5,62
63,61.6,-22.4,-0.6,5,63
64,56.0,-7.6,-12.5,1,64
65,61.1,-40.4,10.9,1,65
66,50.0,-57.5,-12.0,8,66
67,39.3,-67.6,-15.5,8,67
68,26.6,-44.2,-12.3,6,68
69,57.8,-54.1,-1.8,8,69
70,61.9,-41.5,-14.7,2,70
71,43.6,-44.8,-20.6,8,71
72,22.2,-61.2,-9.1,6,72
73,32.3,-81.2,22.8,8,73
74,46.6,-73.2,3.9,8,74
75,19.0,-80.9,41.3,6,75
76,19.2,-81.6,-11.3,7,76
77,8.3,-72.9,25.3,6,77
78,23.9,-94.2,9.7,7,78
79,8.1,-75.9,-3.8,6,79
80,8.1,-87.8,13.1,6,80
81,32.1,-90.8,-8.2,7,81
82,15.4,-67.0,7.5,6,82
83,8.0,35.4,20.9,4,83
84,5.9,1.2,35.0,5,84
85,5.6,-39.2,23.9,3,85
86,12.9,-56.8,15.7,3,86
87,29.7,-52.5,6.6,6,87
88,7.5,-18.1,27.9,4,88
89,8.6,-20.6,41.3,5,89
90,7.2,-54.4,37.1,3,90
91,10.0,-37.0,45.2,4,91
92,29.6,2.7,-21.4,5,92
93,28.8,-36.7,0.4,4,93
94,35.6,-16.1,-17.0,4,94
95,28.1,-29.4,-12.9,4,95
96,29.2,-21.1,-25.1,3,96
97,24.0,-4.3,-30.3,5,97
98,15.8,-47.3,0.1,6,98
99,19.0,-9.6,-14.7,4,99
100,32.2,-76.1,-38.8,7,100
101,6.4,-51.3,-12.9,4,101
102,39.0,-72.5,-28.5,7,102
103,13.5,-40.9,-25.0,4,103
104,22.1,-36.6,-42.9,4,104
105,7.0,-67.0,-38.2,4,105
106,7.5,-67.3,-21.2,4,106
107,44.4,-47.5,-40.8,4,107
108,15.7,-47.5,-53.1,4,108
109,22.3,-58.9,-51.0,5,109
110,20.7,-52.8,-23.2,4,110
111,13.8,-81.6,-33.8,2,111
112,19.6,-72.4,-48.9,2,112
113,36.5,-55.6,-31.0,4,113
114,23.7,-67.8,-27.3,4,114
115,7.1,-56.9,-52.1,3,115
116,40.5,-63.1,-47.4,2,116
117,6.8,-53.7,-34.4,4,117
118,32.9,-48.6,-52.2,4,118
119,29.5,-37.4,-31.0,4,119
120,21.4,-37.0,19.5,4,120
121,13.0,12.7,13.3,4,121
122,14.3,-3.2,22.0,4,122
123,12.2,19.7,0.3,4,123
124,26.5,6.5,1.1,4,124
125,14.0,7.8,-9.0,4,125
126,11.7,-27.1,-0.7,4,126
127,13.7,-28.9,12.5,4,127
128,6.5,-9.5,5.8,4,128
129,5.5,-39.5,-53.1,4,129
130,10.6,-20.9,-29.1,4,130
131,7.5,-24.5,-41.1,4,131
132,6.7,-26.7,-15.9,4,132
133,8.0,-36.1,-36.2,4,133
134,-4.5,28.8,-10.7,3,134
135,-18.5,16.9,-20.6,4,135
136,-5.7,15.9,-21.5,4,136
137,-6.9,38.7,-22.9,1,137
138,-5.8,49.1,-5.5,3,138
139,-16.4,58.2,-13.8,2,139
140,-5.6,46.9,14.9,1,140
141,-10.7,66.2,6.5,3,141
142,-26.2,56.6,6.0,2,142
143,-38.7,51.1,-6.5,2,143
144,-26.3,50.4,25.6,4,144
145,-10.2,54.2,34.7,1,145
146,-26.9,34.0,38.3,4,146
147,-44.3,29.3,24.5,2,147
148,-11.0,33.0,53.8,1,148
149,-39.9,17.7,45.7,1,149
150,-4.9,19.9,46.5,1,150
151,-43.8,31.3,-9.0,1,151
152,-26.0,36.9,-15.0,4,152
153,-31.4,20.3,-15.9,1,153
154,-39.9,45.5,11.6,2,154
155,-31.8,22.6,4.6,4,155
156,-49.6,23.1,7.3,1,156
157,-44.5,7.9,27.9,2,157
158,-42.6,-16.8,44.2,5,158
159,-58.5,-2.2,21.6,5,159
160,-12.4,-21.2,71.1,5,160
161,-6.3,0.2,44.9,5,161
162,-8.4,1.1,65.6,1,162
163,-54.9,-0.8,4.9,5,163
164,-23.1,13.0,54.3,2,164
165,-45.6,-1.8,48.8,1,165
166,-24.8,-7.0,56.3,5,166
167,-33.3,-22.6,66.6,5,167
168,-38.0,1.9,8.8,5,168
169,-37.7,8.2,-6.2,4,169
170,-36.5,-14.6,-0.4,5,170
171,-53.3,-24.8,41.7,5,171
172,-20.3,-30.0,63.5,5,172
173,-41.6,-15.8,15.0,5,173
174,-4.8,-33.2,65.1,5,174
175,-27.1,-52.8,63.4,8,175
176,-9.2,-69.5,29.9,6,176
177,-27.4,-61.9,41.4,8,177
178,-9.2,-65.5,55.3,4,178
179,-35.6,-39.4,48.9,5,179
180,-42.4,-32.5,17.6,5,180
181,-60.7,-27.2,21.9,5,181
182,-40.3,-66.6,44.3,2,182
183,-51.7,-56.6,24.6,1,183
184,-55.8,-43.7,40.7,2,184
185,-37.3,4.6,-40.0,1,185
186,-34.2,16.9,-33.4,1,186
187,-48.5,9.9,-31.9,1,187
188,-48.1,6.9,-15.5,5,188
189,-23.5,7.5,-39.0,5,189
190,-57.9,-5.8,-21.5,1,190
191,-57.2,-30.8,3.6,5,191
192,-57.1,-49.3,8.8,1,192
193,-60.0,-27.3,-19.2,2,193
194,-48.2,-5.6,-38.7,1,194
195,-39.1,-13.6,-29.1,5,195
196,-54.3,-18.6,-29.0,2,196
197,-56.0,-14.0,-7.8,5,197
198,-28.0,-43.0,-16.7,6,198
199,-58.4,-49.6,-12.2,2,199
200,-42.5,-51.2,-15.9,8,200
201,-47.2,-38.3,-24.0,8,201
202,-30.0,-6.3,-41.9,5,202
203,-42.1,-74.8,23.8,3,203
204,-33.8,-86.4,11.2,8,204
205,-16.3,-52.4,-0.8,6,205
206,-43.1,-68.1,-12.6,8,206
207,-24.6,-62.5,-12.0,6,207
208,-17.5,-84.5,30.8,6,208
209,-47.7,-66.8,3.9,8,209
210,-38.9,-82.2,-4.9,8,210
211,-7.8,-71.3,-2.9,6,211
212,-12.8,-97.1,8.2,7,212
213,-15.5,-82.6,-14.0,7,213
214,-23.9,-95.3,-10.4,7,214
215,-6.3,-81.6,10.3,6,215
216,-22.1,-67.4,5.9,6,216
217,-21.3,-41.1,17.7,4,217
218,-7.3,-21.3,43.8,5,218
219,-5.3,33.1,28.5,1,219
220,-2.2,-3.0,31.4,4,220
221,-4.7,14.7,29.7,4,221
222,-8.5,-59.6,14.3,3,222
223,-4.3,-36.7,28.6,3,223
224,-5.1,-17.6,26.9,4,224
225,-6.4,-53.9,34.9,3,225
226,-8.4,-42.9,48.3,4,226
227,-5.6,-44.9,8.6,3,227
228,-26.5,0.4,-17.2,5,228
229,-19.5,-37.7,4.3,4,229
230,-30.5,-39.7,-3.9,4,230
231,-20.7,-14.5,-17.0,4,231
232,-35.9,-25.6,-15.1,4,232
233,-20.1,-32.3,-11.5,4,233
234,-32.0,-24.0,-26.6,4,234
235,-21.8,-5.7,-29.2,5,235
236,-5.5,-65.7,-39.7,4,236
237,-7.2,-50.6,-40.6,4,237
238,-34.6,-51.7,-31.0,4,238
239,-6.9,-56.8,-54.4,3,239
240,-18.9,-70.1,-50.9,8,240
241,-37.8,-72.3,-29.1,7,241
242,-28.0,-78.4,-41.0,2,242
243,-16.7,-46.9,-54.2,4,243
244,-5.8,-51.3,-12.0,4,244
245,-26.6,-36.0,-30.8,4,245
246,-38.6,-63.4,-46.5,2,246
247,-10.2,-79.9,-34.2,2,247
248,-7.1,-67.7,-21.8,4,248
249,-31.1,-51.5,-54.1,4,249
250,-19.5,-57.9,-49.1,4,250
251,-9.6,-38.6,-25.0,4,251
252,-42.4,-47.7,-43.3,4,252
253,-24.3,-66.8,-31.1,4,253
254,-19.9,-52.3,-23.6,4,254
255,-5.7,-54.7,-27.4,4,255
256,-21.8,-37.6,-44.2,4,256
257,-9.8,22.5,10.0,4,257
258,-11.4,11.6,9.5,4,258
259,-10.1,10.5,-7.0,4,259
260,-12.7,-2.7,21.3,4,260
261,-25.0,4.7,0.7,4,261
262,-7.9,-26.2,-0.8,4,262
263,-3.5,-10.3,6.6,4,263
264,-9.2,-27.2,13.5,4,264
265,-4.2,-24.3,-15.4,4,265
266,-2.8,-39.5,-53.9,4,266
267,-5.4,-34.5,-39.4,4,267
268,-3.5,-21.3,-36.9,4,268